Product ID,Product Name,Category,Price,Brand,Features,Average Rating,Number of Ratings,Availability
12867543,business Beauty,Beauty,340.4245460440201,Douglas-Murphy,"Hypoallergenic, Organic ingredients, Cruelty-free, Paraben-free",3.88,411,In Stock
3962017,opportunity Beauty,Beauty,299.898395357671,"Davis, Joyce and Frazier",Paraben-free,2.58,476,In Stock
44,long Beauty,Beauty,60.262112632689316,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free",2.42,491,In Stock
4,only Beauty,Beauty,137.25513527850646,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free, Paraben-free",4.35,207,Out of Stock
39409477,interesting Beauty,Beauty,390.17464719495825,"Ford, Morgan and Montgomery","Paraben-free, Organic ingredients",3.18,294,In Stock
8360050,physical Beauty,Beauty,21.653226393593606,"Davis, Joyce and Frazier",Hypoallergenic,1.93,418,In Stock
9886250,lawyer Beauty,Beauty,11.188720926963107,Sanchez-Weeks,"Organic ingredients, Hypoallergenic",4.61,381,In Stock
186936,everyone Beauty,Beauty,45.74507311543522,Sanchez-Weeks,Hypoallergenic,2.06,456,In Stock
216668,happy Beauty,Beauty,392.66277532865723,"Gibson, Salazar and Castro","Paraben-free, Cruelty-free, Organic ingredients, Hypoallergenic",2.05,187,In Stock
9272,stage Beauty,Beauty,303.4953517473371,"Ford, Morgan and Montgomery","Cruelty-free, Hypoallergenic, Paraben-free, Organic ingredients",4.61,571,In Stock
6,tell Beauty,Beauty,28.205335136499333,"Davis, Joyce and Frazier","Cruelty-free, Hypoallergenic, Paraben-free",2.75,100,In Stock
6802,brother Beauty,Beauty,325.87752155552835,Douglas-Murphy,"Organic ingredients, Paraben-free, Cruelty-free, Hypoallergenic",1.79,410,In Stock
874769783,collection Beauty,Beauty,143.8855036576979,Sanchez-Weeks,"Organic ingredients, Paraben-free, Hypoallergenic",3.94,145,In Stock
9985,only Beauty,Beauty,320.352611370929,"Davis, Joyce and Frazier","Paraben-free, Cruelty-free, Organic ingredients, Hypoallergenic",3.55,275,In Stock
66834336,simple Beauty,Beauty,284.2151312908676,Douglas-Murphy,"Hypoallergenic, Organic ingredients, Paraben-free",4.67,398,In Stock
16,similar Beauty,Beauty,470.15420304976294,"Gibson, Salazar and Castro",Organic ingredients,3.12,332,In Stock
45,bring Beauty,Beauty,479.4288600086007,"Davis, Joyce and Frazier",Organic ingredients,4.58,262,In Stock
3,ago Beauty,Beauty,310.78187620053444,"Gibson, Salazar and Castro",Organic ingredients,3.41,88,In Stock
53736816,little Beauty,Beauty,173.47738395704403,"Davis, Joyce and Frazier","Hypoallergenic, Cruelty-free",3.64,363,In Stock
1577,increase Beauty,Beauty,200.33141633836723,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free, Paraben-free",1.86,564,In Stock
543036164,ready Beauty,Beauty,192.20429346650636,"Gibson, Salazar and Castro","Paraben-free, Organic ingredients, Cruelty-free, Hypoallergenic",2.51,381,In Stock
9799,ten Beauty,Beauty,305.4470000503475,Douglas-Murphy,"Hypoallergenic, Cruelty-free",2.44,298,Out of Stock
5,create Beauty,Beauty,331.96364112098564,"Ford, Morgan and Montgomery","Cruelty-free, Hypoallergenic",1.66,288,Out of Stock
2317678,indicate Beauty,Beauty,323.56166242383557,"Ford, Morgan and Montgomery","Paraben-free, Organic ingredients, Hypoallergenic, Cruelty-free",2.15,166,In Stock
78,left Beauty,Beauty,181.55234872428323,Sanchez-Weeks,Organic ingredients,3.77,211,In Stock
1,machine Beauty,Beauty,52.37640233846364,"Davis, Joyce and Frazier","Paraben-free, Cruelty-free",2.99,506,In Stock
42051164,phone Beauty,Beauty,268.69603009468733,Douglas-Murphy,"Organic ingredients, Paraben-free",4.08,420,In Stock
496452,tell Home,Home,273.8697466217636,Bridges Group,"Durable, Easy to assemble, Smart home compatible",2.57,565,In Stock
7371222,song Home,Home,351.6729715653361,"Higgins, Hicks and Baird","Durable, Easy to assemble",4.6,348,In Stock
36732061,method Home,Home,62.77771148733361,Davis-Strong,"Smart home compatible, Easy to assemble, Energy-efficient",3.77,303,In Stock
5147644,admit Home,Home,14.788528518495724,Davis-Strong,"Smart home compatible, Energy-efficient, Easy to assemble",3.56,120,Out of Stock
63414366,front Home,Home,48.99768584604941,"Young, Fernandez and Sanchez","Durable, Easy to assemble",3.93,322,In Stock
51914,ago Home,Home,65.08836001875878,Davis-Strong,"Energy-efficient, Easy to assemble, Durable, Smart home compatible",1.87,409,In Stock
184290581,provide Home,Home,398.99488645844343,"Young, Fernandez and Sanchez","Smart home compatible, Easy to assemble",3.3,348,In Stock
1088042,list Home,Home,338.9226483738075,Bridges Group,"Energy-efficient, Smart home compatible",4.02,533,In Stock
37337808,half Home,Home,30.81255347057067,Bridges Group,Easy to assemble,1.8,485,In Stock
231,cut Home,Home,417.6815599955591,Bridges Group,"Energy-efficient, Smart home compatible",3.36,393,In Stock
178366,maybe Home,Home,236.16582656784965,Bridges Group,"Energy-efficient, Smart home compatible, Easy to assemble",3.03,353,In Stock
4336456,police Home,Home,35.983047350150784,"Johnson, Middleton and Rangel","Energy-efficient, Durable, Smart home compatible, Easy to assemble",1.77,382,In Stock
322,several Home,Home,161.9458155183444,"Higgins, Hicks and Baird",Smart home compatible,2.69,367,In Stock
7002,try Home,Home,373.1264244371848,"Young, Fernandez and Sanchez","Durable, Smart home compatible",3.31,436,In Stock
66910118,understand Home,Home,226.15315882875365,"Johnson, Middleton and Rangel","Energy-efficient, Durable, Smart home compatible, Easy to assemble",2.82,283,In Stock
1074,technology Home,Home,188.78337115773562,"Higgins, Hicks and Baird","Durable, Smart home compatible, Energy-efficient, Easy to assemble",4.7,567,In Stock
3016004,phone Home,Home,139.0475372378444,Bridges Group,"Smart home compatible, Easy to assemble",4.06,518,In Stock
6821,person Home,Home,174.2831127334394,Davis-Strong,"Smart home compatible, Durable, Easy to assemble",2.7,402,Out of Stock
60,whole Home,Home,379.2324520740815,"Young, Fernandez and Sanchez",Smart home compatible,3.66,335,In Stock
281,wrong Home,Home,225.06793056180877,Davis-Strong,"Smart home compatible, Easy to assemble",1.96,591,Out of Stock
