Product ID,Product Name,Category,Price,Brand,Features,Average Rating,Number of Ratings,Availability,Image
3962017,opportunity Beauty,Beauty,299.8983954,"Davis, Joyce and Frazier",Paraben-free,2.58,476,In Stock,gummy-notebook.png
44,long Beauty,Beauty,60.26211263,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free",2.42,491,In Stock,gummy-notebook.png
4,only Beauty,Beauty,137.2551353,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free, Paraben-free",4.35,207,Out of Stock,gummy-notebook.png
39409477,interesting Beauty,Beauty,390.1746472,"Ford, Morgan and Montgomery","Paraben-free, Organic ingredients",3.18,294,In Stock,gummy-notebook.png
8360050,physical Beauty,Beauty,21.65322639,"Davis, Joyce and Frazier",Hypoallergenic,1.93,418,In Stock,gummy-notebook.png
9886250,lawyer Beauty,Beauty,11.18872093,Sanchez-Weeks,"Organic ingredients, Hypoallergenic",4.61,381,In Stock,gummy-notebook.png
186936,everyone Beauty,Beauty,45.74507312,Sanchez-Weeks,Hypoallergenic,2.06,456,In Stock,gummy-notebook.png
216668,happy Beauty,Beauty,392.6627753,"Gibson, Salazar and Castro","Paraben-free, Cruelty-free, Organic ingredients, Hypoallergenic",2.05,187,In Stock,gummy-notebook.png
9272,stage Beauty,Beauty,303.4953517,"Ford, Morgan and Montgomery","Cruelty-free, Hypoallergenic, Paraben-free, Organic ingredients",4.61,571,In Stock,gummy-notebook.png
6,tell Beauty,Beauty,28.20533514,"Davis, Joyce and Frazier","Cruelty-free, Hypoallergenic, Paraben-free",2.75,100,In Stock,gummy-notebook.png
6802,brother Beauty,Beauty,325.8775216,Douglas-Murphy,"Organic ingredients, Paraben-free, Cruelty-free, Hypoallergenic",1.79,410,In Stock,gummy-notebook.png
874769783,collection Beauty,Beauty,143.8855037,Sanchez-Weeks,"Organic ingredients, Paraben-free, Hypoallergenic",3.94,145,In Stock,gummy-notebook.png
9985,only Beauty,Beauty,320.3526114,"Davis, Joyce and Frazier","Paraben-free, Cruelty-free, Organic ingredients, Hypoallergenic",3.55,275,In Stock,gummy-notebook.png
66834336,simple Beauty,Beauty,284.2151313,Douglas-Murphy,"Hypoallergenic, Organic ingredients, Paraben-free",4.67,398,In Stock,gummy-notebook.png
16,similar Beauty,Beauty,470.154203,"Gibson, Salazar and Castro",Organic ingredients,3.12,332,In Stock,gummy-designer-tools.png
45,bring Beauty,Beauty,479.42886,"Davis, Joyce and Frazier",Organic ingredients,4.58,262,In Stock,gummy-designer-tools.png
3,ago Beauty,Beauty,310.7818762,"Gibson, Salazar and Castro",Organic ingredients,3.41,88,In Stock,gummy-designer-tools.png
53736816,little Beauty,Beauty,173.477384,"Davis, Joyce and Frazier","Hypoallergenic, Cruelty-free",3.64,363,In Stock,gummy-designer-tools.png
1577,increase Beauty,Beauty,200.3314163,"Gibson, Salazar and Castro","Organic ingredients, Cruelty-free, Paraben-free",1.86,564,In Stock,gummy-designer-tools.png
543036164,ready Beauty,Beauty,192.2042935,"Gibson, Salazar and Castro","Paraben-free, Organic ingredients, Cruelty-free, Hypoallergenic",2.51,381,In Stock,gummy-designer-tools.png
9799,ten Beauty,Beauty,305.4470001,Douglas-Murphy,"Hypoallergenic, Cruelty-free",2.44,298,Out of Stock,gummy-designer-tools.png
5,create Beauty,Beauty,331.9636411,"Ford, Morgan and Montgomery","Cruelty-free, Hypoallergenic",1.66,288,Out of Stock,gummy-designer-tools.png
2317678,indicate Beauty,Beauty,323.5616624,"Ford, Morgan and Montgomery","Paraben-free, Organic ingredients, Hypoallergenic, Cruelty-free",2.15,166,In Stock,gummy-designer-tools.png
78,left Beauty,Beauty,181.5523487,Sanchez-Weeks,Organic ingredients,3.77,211,In Stock,gummy-designer-tools.png
1,machine Beauty,Beauty,52.37640234,"Davis, Joyce and Frazier","Paraben-free, Cruelty-free",2.99,506,In Stock,gummy-designer-tools.png
42051164,phone Beauty,Beauty,268.6960301,Douglas-Murphy,"Organic ingredients, Paraben-free",4.08,420,In Stock,gummy-designer-tools.png
496452,tell Home,Home,273.8697466,Bridges Group,"Durable, Easy to assemble, Smart home compatible",2.57,565,In Stock,gummy-designer-tools.png
7371222,song Home,Home,351.6729716,"Higgins, Hicks and Baird","Durable, Easy to assemble",4.6,348,In Stock,gummy-room-with-books-and-lamp.png
36732061,method Home,Home,62.77771149,Davis-Strong,"Smart home compatible, Easy to assemble, Energy-efficient",3.77,303,In Stock,gummy-room-with-books-and-lamp.png
5147644,admit Home,Home,14.78852852,Davis-Strong,"Smart home compatible, Energy-efficient, Easy to assemble",3.56,120,Out of Stock,gummy-room-with-books-and-lamp.png
63414366,front Home,Home,48.99768585,"Young, Fernandez and Sanchez","Durable, Easy to assemble",3.93,322,In Stock,gummy-room-with-books-and-lamp.png
51914,ago Home,Home,65.08836002,Davis-Strong,"Energy-efficient, Easy to assemble, Durable, Smart home compatible",1.87,409,In Stock,gummy-room-with-books-and-lamp.png
184290581,provide Home,Home,398.9948865,"Young, Fernandez and Sanchez","Smart home compatible, Easy to assemble",3.3,348,In Stock,gummy-room-with-books-and-lamp.png
1088042,list Home,Home,338.9226484,Bridges Group,"Energy-efficient, Smart home compatible",4.02,533,In Stock,gummy-room-with-books-and-lamp.png
37337808,half Home,Home,30.81255347,Bridges Group,Easy to assemble,1.8,485,In Stock,gummy-room-with-books-and-lamp.png
231,cut Home,Home,417.68156,Bridges Group,"Energy-efficient, Smart home compatible",3.36,393,In Stock,gummy-room-with-books-and-lamp.png
178366,maybe Home,Home,236.1658266,Bridges Group,"Energy-efficient, Smart home compatible, Easy to assemble",3.03,353,In Stock,gummy-room-with-books-and-lamp.png
4336456,police Home,Home,35.98304735,"Johnson, Middleton and Rangel","Energy-efficient, Durable, Smart home compatible, Easy to assemble",1.77,382,In Stock,gummy-room-with-books-and-lamp.png
322,several Home,Home,161.9458155,"Higgins, Hicks and Baird",Smart home compatible,2.69,367,In Stock,gummy-living-room.png
7002,try Home,Home,373.1264244,"Young, Fernandez and Sanchez","Durable, Smart home compatible",3.31,436,In Stock,gummy-living-room.png
66910118,understand Home,Home,226.1531588,"Johnson, Middleton and Rangel","Energy-efficient, Durable, Smart home compatible, Easy to assemble",2.82,283,In Stock,gummy-living-room.png
1074,technology Home,Home,188.7833712,"Higgins, Hicks and Baird","Durable, Smart home compatible, Energy-efficient, Easy to assemble",4.7,567,In Stock,gummy-living-room.png
3016004,phone Home,Home,139.0475372,Bridges Group,"Smart home compatible, Easy to assemble",4.06,518,In Stock,gummy-living-room.png
6821,person Home,Home,174.2831127,Davis-Strong,"Smart home compatible, Durable, Easy to assemble",2.7,402,Out of Stock,gummy-living-room.png
60,whole Home,Home,379.2324521,"Young, Fernandez and Sanchez",Smart home compatible,3.66,335,In Stock,gummy-living-room.png
281,wrong Home,Home,225.0679306,Davis-Strong,"Smart home compatible, Easy to assemble",1.96,591,Out of Stock,gummy-living-room.png
